,text,sentiment_value
145, : LMFAOOOOOOOOOOOOOOOOOO JALEN RAMSEY WALK LIKE A BAD BITCH  ,neg
146," : The republican party will never be the party of Lincoln again.  It is now the party of Trump.  The stink of lies, h... ",pos
147,  Do a instagram live instead,neu
148,"  Tf you got on, look like you ready to work out in the snow neck ass, shirt look like it was made by a firs...  ",pos
149, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
150,"Receivers pushing off every corner route, but Micheals wanted a flag on that.  #SNF",neu
151," : i was watching a livestream from a korean channel and #BTSLoveMyself appeared and i legit cried + 2 seconds of ""mic... ",neg
152, : Hillary Clinton called Donald Trump a sexual assaulter. Because he is. #TrumpSexPredator  ,neu
153, : im a fun ass girlfriend lol. im so goofy,pos
154,"  I had a lot to delete, so it took a few days and a few sites. Id start with   and see if that works!",neu
155," : In case you don't live in L.A, here you go #BTSARMY - part of my interview with   on the red carpet of The... ",neu
156," : Not saying the next gen Roadster special upgrade package *will* definitely enable it to fly short hops, but maybe ...... ",pos
157,  Because they read the details and CBO reports and know that everything you claimed is a lie. #realDonaldTrump,neu
158,drew makes me laugh hes so dumb but like in a funny way,pos
159,"  Sir, what did you receive in 2002?  ",neu
160,"  Thanks Mat. Having friends that suffer from slight depression, it makes me really sad that people think t...  ",neg
161," : Alabama media company to Roy Moore: Go ahead, sue us  wed love to air your dirty laundry in court  ",pos
162,  is a wwe fan ?  ,pos
163,  Id make 5k simple,neu
164,"      My dad was in WWII and recovered by ship. He didn't disembark by plane, he...  ",neu
165,"The Cowboy way, waste a timeout and get a field goal for it  ",neg
166,4 minute Hate  ,neg
167,The way the lady in the front stopped and then started back clapping   ,neg
168, : Can we take a moment to appreciate what a great live performer   is!? #NICKJONASxAMAS  ,pos
169," : Jingle bells, taking L's, hit me with a sleigh. I'm so done, this isn't fun, there goes my gpa.",neg
170," : 2 0 0 0       A C C O U N T       G I V E A W A Y

Nike Verified Accounts will restock in time for Off Whites and... ",neu
171," : What If The Pilgrims Had Run A 5K Instead?   via  

#Thanksgiving #running #fitness...",neu
172,#BloggersBlast How to Start a Profitable T-Shirt Business    ,pos
173, : Marshawn Lynch only came back to the NFL to be a savage  ,neg
174," : 1 day after my   interview,   threatened me w/ a false story abt me hiring 2 hookers at the 2015 Mont... ",neg
175,"  your time has come to become a hoseok fansite. go be there for your man, do him good, give him what he deserves",pos
176, : I've been a K-pop fan since 2008 and honestly I'm on the verge of tears right now seeing so much love tonight for... ,pos
177,"Tonight: Clear, with a low around 50. East northeast wind around 5 mph. (From NWS.)  ",pos
178," : Yall only like natural women when they have clear skin, perky tits, a coke bottle shaped body, thick in all the ri... ",pos
179, :   How amazing is it that you have created such incredible friendships amongst dovelies!!! I'm having a s... ,pos
180," : The Bills have now allowed over 100 points in their last 2 games.

The Jaguars have allowed 97 points in their last 8 games.",neu
181,after one hour I successfully found a working link,pos
182," : Trans women are males. They do not bear children, breastfeed, hail from a divine feminine, house a sacred passage,... ",pos
183,The full quote doesn't change anything about what you said tho?  ,neu
184," :       for Favourite Artist Alternative Rock #AMAs c'mon fuck it up guys, w... ",neg
185,6 people followed me and 2 people unfollowed me // automatically checked by  ,neu
186, : The President would have left American students in a foreign jail because their families didnt lavish sufficient p... ,neu
187,I WAS JUST WATCHING VINES ON HP WITH TRISH AND HE JUST POPPED IN AGAIN AND NEXT THING WE KNOW ALL 4 OF HIS FRIENDS...  ,neu
188, : L-1485??? NEW TATTOO??  ,neu
189,"My hair is long enough for a ponytail, so it's long enough for some bad ass styles. Where da hair tutorials at doe.",pos
190,  En ig a se line,neu
191," : If you can contribute ANYTHING to this please please PLEASE do so. We love you, Jim. All of us.  ",pos
192, : The President would have left American students in a foreign jail because their families didnt lavish sufficient p... ,neu
193," : Help me defeat Maxine Waters in 2018. 

Subscribe:  
Like:  
Follow:... ",pos
194," : Wanna quickly preserve your energy in a situation? Say what that got to do with me? and dead it, Lmaoo.",neg
195,I'm like: yeah it's her only performance this year. She had a fucking organ transplant this year. #SELENAxAMAs.,pos
196, : The only real difference between a revolution and a rebellion is if you win or not.,pos
197, : Watch these New Yorkers improvise a rescue when scaffolding collapses at a busy intersection. And this is a neighbo... ,pos
198, : ME AND   ARE STARTING A FANCHANT NEXT COMMERICAL BREAK #AMAs #BTSxAMAs #ARMYxAMAs,neu
199, : Hes a gentleman and super talented dude.. fun talking with   tonight  ,pos
200, : Starting a family that stays a family is one of my biggest goals in life,neu
201, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
202,Jessica C.   #ass,neu
203," : Have you ever had a breakup without even dating? 

Lmfaooooooooooooooooo that shit hurts like a motherfucker lowkey",neg
204, : I'LL BE A SKATER  ,neu
205, : I'm a freak.,neg
206,Bill Kristol Just Gave A Hilarious Response To Trumps Tweet About The Elephant Trophy Ban    ,neg
207,Gud mrng guys!! Hv a sweet day!!   ,pos
208,A Wrinkle in Time | official trailer #2 (2018)  ,neu
209, : FROM #KathNielBench30years YESTERDAY TO #KathNailsGrandOpeningAtMOA TODAY. WHAT A WEEKEND!   ... ,neu
210," : VOTACION M A S I V A
 RT RT RT RT RT RT RT  
Im voting for   as New Artist of the Year presented by T-Mobile a...",neu
211,"  Cant wait to eat that piece of shit for dinner, leftovers that night then a couple more times on Frid...  ",neg
212,i am a single dad  ,neu
213, : im still convinced its a dog with sunglasses  ,pos
214, : It's been 414 days since Michigan beat a team with a winning record.,pos
215, : The #Bears are now 0-4 this season and 3-13 overall vs. the NFCN under John Fox. Trust the process?,pos
216," : Do you know anyone with kids who might like this book?  =D
MY HAIR IS POOFY AND THATS OKAY! 
Yes...My 2nd childrens... ",pos
217,Looking for some tasty food gifts to give this Christmas? Take a look at this great gift guide.  ,pos
218,a thing i've been thinking about a lot today is how scary it probably was to be the first person to domesticate a horse,neg
219," : Net Worth before running for president

Trumps -    $4.5B
Obamas -  $3M
Clintons  -  $480,000

NOW

Trumps -   $3.5... ",pos
220," : JK at BBMAs: eating biscuits

Jk at AMAs: eating again

Someone give this kid a little more food...

#AMAs ... ",pos
221, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
222, : A girl that can deepthroat   ,neu
223," : In case you don't live in L.A, here you go #BTSARMY - part of my interview with   on the red carpet of The... ",neu
224, : Scared to watch Im a celeb incase Jamie lomas is nothing like Warren in hollyoaks and it ruins my whole life ,neg
225," : end of YOUR story. My parents beat my ass numerous times, but theyre the most supportive and loving people in my l... ",pos
226, :     Justice League is my favourite movie of all time. Yes I might have literally jumpe... ,pos
227,"Ats what happens when you try to help a bitch out, smh you bitches is so ungrateful",neg
228,  lets make a sign and hold it up at the show,neu
229,  Magic Swords song in Hotline Miami 2: Wrong Number was one of the best parts of the game.,pos
230," : FINAL: The   are 8-2! #SKOL

#LARvsMIN  ",neu
231,this has been me for the past week... now I'm a week behind on all my shows #firstworldproblems...  ,neu
232, : A deer pull out in front of me on my way home. ,neu
233, : He was Rudy before any of those 2 you uncultured swine...  ,neu
234,"    Nice! Well, if you ever get hungry while you're working on a painting, keep us in mind. :)",pos
235, : Free speech can be a complicated moral issue - and the   is here to defend it.  ,pos
236, : SEOKJIN REALLY SAW THAT THE CAMERA WAS ON HIM AND SENT A FLYING KISS #AMAs  ,pos
237," : AMAs air a tweet that misspelled BTS in Korean #BTSxAMAs
    ",neu
238, : A nice lil date is what I need,pos
239, : no child under the age of 16 is allowed to watch Incredibles 2 until at least two weeks after its release. the firs... ,neg
240, : a generation free of judgment and full of acceptance...my heart is happy.  ,pos
241, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
242, : If you think shoplifting from a store should be punished by 5 to 10 years in prison (it's between six months and a... ,neg
243," : A letter to a young woman in #Skye.

We know you follow this account and want you to see this.

Weve told you prev... ",pos
244," : Our President has been accused of:

- Raping his Wife
- Walking in on Naked Teens at Miss Univ. Dressing room
- Adm... ",neg
245, : are we just gonna ignore the fact that Aloha stadium was PACKED until 1am with people watching a HIGH SCHOOL footba... ,neg
246," : First Trump picks a fight with Barack Obama, then Colin Kaepernick, then Frederica Wilson, now its Lavar Ball.

Notice...",neg
247," : Why is it so hard to balance out school, a girlfriend, and YouTube wtf",neg
248, : #TaxReform - Republicans think EVERYONE is stupid enough to believe theyre looking out for the working class.  B... ,neg
249,    That'd be because of renewables. Or something.,neu
250, : *freakin* superstar. Someone trip that guy on the way out. Jk jk jk   ,pos
251, : once i get sponsored by pornhub and weedmaps a nigga ready to fall off in peace,pos
252,"Keenum played a pretty good game today, but threw 2 Keenum type passes. I agree with   when he says K...  ",pos
253, : Ended up with a Spanish mami calling me papi ,neu
254,Sandal require a HCA for a Middle shift on Tue 26 Dec 2017 from 10:00 to 17:55. Book online or call 01924 316406.,neu
255,well today was a thin slice of Satans wet dreams .... seriously wtf,neg
256, : every single one of my friends had a friendgiving party and not one called me so i sat home listening to this on re... ,pos
257, :   we need more gop's like you with a backbone and not part of the corrupted establishment. Stay strong keep Al...,pos
258,Bill Kristol Just Gave A Hilarious Response To Trumps Tweet About The Elephant Trophy Ban    ,neg
259,If i was a girl id prefer to wear the dallas cheerleader outfit...cute!,pos
260, : A trilogy  ,neu
261, : Robert Mueller has a confirmed sealed indictment in place and its probably against Donald Trump  ,neu
262,"When she found I had a heart  , thats when she hurt me",neg
263,"WIN a $100 gift certificate for the awesome shoes and sandals from Xero Shoes (yes, from Shark Tank) -...  ",pos
264,  Go Vote  ,neu
265, : when a bitch say she gonna hit one of your friends on sight and yall all waiting ..  ,neg
266,"A Double Joint Bayesian Approach for J-Vector Based Text-dependent Speaker Verification. (arXiv:1711.06434v1 [cs.SD]
 ",neu
267,Im so ready to get out of here and dont be surprised when a ton of yall get cut the fuck off. Closely considerin...  ,neg
268, : Life blossoms when it is in a state of harmony and balance.    Angie Karan Krezos  ,pos
269, : #Teachers - a few hours remain to enter the SMALL #giveaway on   (plus a few activities to go... ,neu
270, :   OBAMA IS A MONSTER,neu
271," : Powerful history lesson here:

For black women, that is a message that dates back to slavery [that they cant be a... ",neg
272," : Okay you pathetic bridge dwellers here is my weekly AP ballot...

1. Ariz
2. Duke
3. Mich St
4. KU
5, Wich St
6. Mi... ",neg
273," : In this economy?!?!??! is such a good response for everything.

hey how r u
IN THIS ECONOMY??

wanna go out fo... ",pos
274,i have a presentation on tuesday and i still have to do a lot of stuff tomorrow....today? cant wait to fail,pos
275,"Synology, we took a look at your product reviews:  ",neu
276," : *HOW IT WORKS NOW*

1. CEO of popular dildo company Ricks Dicks speaks out against trump

2. trump calls CEO a l... ",pos
277, : Hundreds outside AT&T Stadium before Cowboys-Eagles game show support for NFL players who kneel  ,pos
278," : Jungkook with a bag of snacks 
#BTSxAMAs #  ",neu
279, : my after a long crying session finally knocks me out  ,neg
280, : Im normally not a #cat person but this is so darn #cute. Its cat-a-mole.  ,neu
281, : I vote for   for New Artist of the Year presented by   at the #AMAs   2,neu
282, : Roy Moore is a lying scumbag and a monster! #NoMoore  ,neg
283," : .  hi, just a quick q. How do you have the voice of an ACTUAL ANGEL? #AMAs",neu
284," : So, it turns out that the Trump family business is worth a fraction of what Trump has long touted. But then again,... ",pos
285,"  Yes, your a gweat sissy!!!! ",pos
286, : I hope they keep a camera on the K-pop band the whole night because theyre hype af,pos
287,  Torn on number 1 through 3 but Tattoo Foo is a lock at 4. I cry whenever watch the scene where Da...  ,neg
288,  If you ever do. Do IT when you got a positive mindset dont do IT when you tight cause you will be buggin,pos
289," : LINKS FOR AMAs #BTSxAMAs
1.  
2.  
3.  
4.... ",neu
290, : I was never a jealous or insecure person until I was shown that I was so easy to throw away for just about anything,pos
291, : Bet you havent seen a David #Beckham interview like this! #KidsTakeover #WorldChildrensDay  ,pos
292," : This is the kind of legislation I'm looking forward to signing on to.

  removed the bipartisan... ",neu
293," : Brigadier CP Nair,ex DDG   Military Intelligence, passed away today
His 2nd last FB Post~On #Fekus Shah #Rogi... ",pos
294,  always happens in Philly  ,neu
295, : who called it a condom and not a cumbrella,neu
296," : so how many guys is jimin gonna cause a gay crisis for tonight, just with these earrings alone  ",neg
297," : [INFO] BTS will be the 16th performer out of a total of 17 teams, performing right before the finale 
#... ",neu
298,  I knew a guy. KNEW.,neu
299," : 171120 Rachel Platten posted a photo with   RM, Jimin and J-hope #BTSxAMAs #AMAs LOL NAMJOONs FACE  (... ",pos
300, : JIN BLEW A KISS YALL I GOT IT #BTSxAMAs  ,pos
301," : In honor of the new The Incredibles 2 trailer, 
heres the most iconic scene from the first one.
A true milestone... ",pos
302, : Jackson also asked if he is allowed to interview BTS even though he is not a reporter.  Cuuute  ,neu
303, : Thats going to be a pretty baby  ,pos
304,  Yet you still haven't actually tweeted about a madman shooting up schools in California last week....  ,neu
305," : Maybe this is why he's tweeting about LaVar:

 's Oklahoma Campaign Chair just agreed to plead guilt... ",pos
306," : A University where there is no debate becomes not a place to learn, but rather a place to indoctrinate. This is the... ",neg
307," : This is what   saved three young men from. What is wrong with Lavar? Little baller, more like it.   ",pos
308," : Somethings deeply wrong, more even than usual  ",neg
309,Custom painted   Vans featuring the GOAT himself   RT if youre a proud Angeleno  ,pos
310, : I feel like Lemony Snicket because today has just been a series of unfortunate events,neg
311, : .  being interviewed at the #amas [part 2] #btsxamas  ,neu
312, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
313, : Jim stages a crime in Dwight's room  ,neg
314, : AMAs LIVESTREAM RT TO SAVE A LIFE   ,pos
315," : Liberals Destroy everything they touch! The NFL, Halloween, Christmas, American history, healthcare, the economy...... ",neg
316," : Remembering the lovely Gene Tierney (November 19, 1920 - November 6, 1991).

I shall never forget the weekend Laura... ",pos
317,Taking a break from social media ,neu
318,MY EXAMN IS NOT TOMORROW BTW ITS O. TUESDAY AT 2 i still kinda have two days to study.....,neu
319, : Leaving Mexico City w/ a happy heart. What a special place w/ wonderful people   ,pos
320,One of the most popular sides from Boston Market is waiting to be served on your...  Boston...    ,pos
321," : For sure, thats cuz they think that I waited for that to happen to start speaking up. If they followed me or took... ",pos
322, : This is like when the Hamburglar was caught on hot mic saying he likes hamburgers.  ,pos
323,"    I'm really glad how it worked out, Martin is such a good guy. :)",pos
324, : Also! Did I mention my chapbook A Thousand Ars Poeticas is forthcoming from    in the spring & can be pre... ,neu
325,"Its that time yall, The Walking Dead time!!  with Keagan too. We have a full house tonight lol.  watching The Walking Dead",neg
326,Im........good bye  ,neu
327,If theres one thing Im not its a girl that talks shit about a specific person and is still bffs with them I just dont fuck with that bs,neg
328," : Bad Influences: We gonna get a bottle
Me:  ",neg
329,  Do a Instagram live instead ,neu
330,A moment's insight is sometimes worth a life's experience. -Oliver Wendell Holmes,pos
331," : THIS IS WHY WE TAKE A KNEE.. THIS IS WHY WE SCREAM FUCK THE POLICE, THIS IS WHY WE SAY BLM, THIS IS WHY WE PROTEST,... ",neg
332,        I... I... think I'll make it this time. Maybe this is a a new bad...  ,neu
333,How about not throwing a fade to Dez there?...Not that productive this year. #CowboysNation #DalvsPhi,neu
334,"As an adult, I'd say.........
""University is not the end of your life!""

.....You may change 'life' into 'agony' if you want.......",neu
335,Don't fall into a relationship because you'd rather not be lonely. Solo is sometimes better than trapped with bad love mojo.,pos
336,"Rare 1926 Sturditoy Pumper Chemical Fire Truck w/ 2 Orig Hoses, 27"" L  ",neg
337, : Former Governor Sarah Palin says she's never experienced sexual harassment because she has a gun  ,pos
338," : Maybe if I had a bigger TV, I could see their face  ",neu
339," : in honor to the incredibles 2 (which we've been waiting for 84 years), here's an underestimated icon, elastigirl  ",pos
340,Glad we wasted a timeout for that awesome play call. Lmao.,pos
341,"IMAGINENSE A NIALL RECOGIENDO SU PREMIO

I'm voting for   for New Artist Of The Year Presented by T-Mobile at #AMAs",neu
342,"""What a cutie   Hookup with horny girls at  ",pos
343,Intel Dump: Deep State Exposed At Every Levels /Gulf Stream practically nonexistent b/c oil still leaking/Chuck Nor...  ,neg
344, : Goku aint ever breakdanced in his life and just did that shit off a Ki blast. He a  hall of famer after this and i... ,neg
345, : Wow I loved it! It was very different but in a good way! She looked so sad tho!,pos
346, :       Very telling that   has never invited a published peer revi... ,neu
347," Reward:  
-
 Event:  
-
by #PokemonPets #Milogold #FreeGames  ",pos
